what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1518191186735
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1518191186736
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1518191186824
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1518191186839
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1518191186863
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1518191186864
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1518191186879
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1518191186880
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1518191186902
os,sysinfo,,,"win32",1518191186918
arch,sysinfo,,,"x86_64",1518191186918
ws,sysinfo,,,"win32",1518191186918
locale,sysinfo,,,"en_PH",1518191186918
processors,sysinfo,,,"4",1518191186951
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1518191186951
java.runtime.version,sysinfo,,,"1.8.0_144-b01",1518191186951
java.specification.name,sysinfo,,,"Java Platform API Specification",1518191186951
java.specification.vendor,sysinfo,,,"Oracle Corporation",1518191186951
java.specification.version,sysinfo,,,"1.8",1518191186951
java.vendor,sysinfo,,,"Oracle Corporation",1518191186951
java.version,sysinfo,,,"1.8.0_144",1518191186951
java.vm.info,sysinfo,,,"mixed mode",1518191186951
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1518191186951
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1518191186951
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1518191186951
java.vm.specification.version,sysinfo,,,"1.8",1518191186951
java.vm.vendor,sysinfo,,,"Oracle Corporation",1518191186951
java.vm.version,sysinfo,,,"25.144-b01",1518191186951
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1518191187278
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1518191188690
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1518191188848
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1518191188922
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1518191189081
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1518191189334
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1518191189347
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1518191189715
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1518191189761
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1518191189918
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1518191190191
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1518191190193
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1518191190486
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1518191190505
