what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1521121533765
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521121534458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521121551192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521121551239
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521121560391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521121561711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121566719
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121593476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521121602043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121602434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121614125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121615981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121624530
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1521121625660
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1521121625770
started,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1521121625801
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521121633035
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521121641130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121646784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121653178
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1521121669580
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521121677020
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1521121679314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121697549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121746834
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121748926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121856205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121858720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521121890267
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521121892986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521121935379
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1521121935520
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1521121935645
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1521121935708
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1521121935723
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1521121935864
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1521121935879
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1521121966504
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1521121966816
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/register.php'.",1521121967160
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/register_php.php'.",1521121967285
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/register_php.php'.",1521121969988
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521121970301
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521121970691
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521121979114
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521121994880
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521121999879
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521122001160
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521122012980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521122020912
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521122023754
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521122034771
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521122042858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521122043029
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521122043217
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521122047519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521122051288
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1521122081628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521122082285
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1521122137549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521122145252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521122162755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521122167470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521122243699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521122246269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521122254793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521122261749
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521122379704
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521122383095
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521122393877
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521122394095
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.toggle.comment",1521122394174
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521122420486
