what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520181405911
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520181415625
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520181421701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520181433846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520181436123
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520181438100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520181712953
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520181716513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520181751582
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520181798383
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520181803304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520181812041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520181814775
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520181823694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520181826606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520181835347
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520181836864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520181850851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520181852198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520182185989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520182200803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520182203637
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520182204879
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520182206399
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520182213623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520182218534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520182222828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520182225332
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520182236430
