what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184871183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184872921
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1520184876061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184879823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184886843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520184890526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1520184905170
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520184906825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184908663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184910929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520184921226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184922910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184941530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520184947004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520184951962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184956815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184974389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184976190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1520184976293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184983071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184985427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184985552
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1520184991664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520184992241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520185022184
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520185028537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520185029946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520185045972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520185048997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520185065836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520185087826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520185094125
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520185108455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520185117731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520185119418
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520185120319
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520185131196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520185144832
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520185146741
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520185154121
