what,kind,bundleId,bundleVersion,description,time
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.ttf'.",1519473520723
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff'.",1519473520739
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2'.",1519473520739
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/js/bootstrap.js'.",1519473520739
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/js/bootstrap.min.js'.",1519473520758
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/js/npm.js'.",1519473520764
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/js/style.js'.",1519473520770
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/database_connection.php'.",1519473520776
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/index.php'.",1519473520782
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1519473521074
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/.buildpath'.",1519473521113
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/.project'.",1519473521120
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/.settings/org.eclipse.php.core.prefs'.",1519473521128
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/css/bootstrap-theme.css'.",1519473521135
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/css/bootstrap-theme.css.map'.",1519473521141
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/css/bootstrap-theme.min.css'.",1519473521149
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/css/bootstrap-theme.min.css.map'.",1519473521158
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/css/bootstrap.css'.",1519473521164
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/css/bootstrap.css.map'.",1519473521169
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/css/bootstrap.min.css'.",1519473521175
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/css/bootstrap.min.css.map'.",1519473521181
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/css/style.css'.",1519473521187
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.eot'.",1519473521193
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.svg'.",1519473521198
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.ttf'.",1519473521205
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff'.",1519473521212
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2'.",1519473521218
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/js/bootstrap.js'.",1519473521224
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/js/bootstrap.min.js'.",1519473521230
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/js/npm.js'.",1519473521236
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/bootstrap-3.3.7-dist/js/style.js'.",1519473521242
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/database_connection.php'.",1519473521248
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/index.php'.",1519473521254
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1519473521296
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1519473523128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519473523279
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1519473524621
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1519473524944
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1519473525104
error,log,,,"Unable to create editor ID org.eclipse.php.editor: The file does not exist.",1519473525661
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1519473525700
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1519473525713
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1519473525721
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519473525840
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1519473525852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519473525852
