what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1521050297979
error,log,,,"Core exception while retrieving the content description",1521050297995
error,log,,,"Core exception while retrieving the content description",1521050298010
error,log,,,"Core exception while retrieving the content description",1521050298042
error,log,,,"Core exception while retrieving the content description",1521050298057
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521050300479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050323568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050384392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050387165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050391188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050403887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050408400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050442876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050443959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050456050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050457823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521050474445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050474931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050509966
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521050511861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521050524532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1521050537190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1521050537829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050590794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050591635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050608402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050609279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521050654152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521050667838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050673117
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050674957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050683816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050685147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050690255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050691379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050777947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050779121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050797269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521050803658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521050818273
