what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1520170112926
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1520170114239
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1520170114527
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1520170115373
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1520170115439
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1520170115485
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1520170115917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520170130930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520170139056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520170140677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520170174123
error,log,,,"Unable to create editor ID org.eclipse.php.editor: The editor class could not be instantiated. This usually indicates a missing no-arg constructor or that the editor's class name was mistyped in plugin.xml.",1520170177880
opened,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170177932
opened,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170177951
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170178002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520170178052
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170178144
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170178268
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170178302
activated,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170178324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520170180478
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170182550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520170182623
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170182744
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170182920
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170182983
activated,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170183018
closed,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170183019
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1520170183049
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520170185587
error,log,,,"Unable to create editor ID org.eclipse.php.editor: The editor class could not be instantiated. This usually indicates a missing no-arg constructor or that the editor's class name was mistyped in plugin.xml.",1520170186152
opened,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170186181
opened,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170186201
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170186252
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170186305
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170186347
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170186392
activated,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170186421
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170186739
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170186776
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170186822
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170186855
activated,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170186880
closed,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170186880
error,log,,,"Unable to create editor ID org.eclipse.php.editor: The editor class could not be instantiated. This usually indicates a missing no-arg constructor or that the editor's class name was mistyped in plugin.xml.",1520170191847
opened,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170191951
opened,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170191983
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170192043
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170192158
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170192268
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170192384
activated,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170192442
closed,editor,org.eclipse.php.ui,,"org.eclipse.php.editor",1520170192442
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170193801
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170193896
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170193943
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1520170194010
