what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054154924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521054164753
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054166676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054166703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054203962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521054205610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521054234948
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054238417
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054240313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521054247401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054248121
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054300845
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054303697
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054305299
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054308520
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054330144
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054338149
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054344703
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1521054346790
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054347088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054359782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1521054359901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054363759
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054366079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521054390532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054391465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054449869
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054452508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054493069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054497465
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054501277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521054561907
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521054575190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521054605452
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521054611494
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521054636657
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054646938
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054649699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054650948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054651390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054692633
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054695779
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054702213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054703141
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054704822
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054707136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521054738005
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054740189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521054743967
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054749047
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054750270
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054751702
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521054757291
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054759234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521054763649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521054787702
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521054797414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054800332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054817291
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054820848
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054827736
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054831746
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054834394
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521054842887
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054844979
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054846392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521054860430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521054885094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054889926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054922519
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054925817
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054930989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054970533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054973368
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1521054977193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521054979174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521055090596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521055145110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521055156596
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521055157831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521055159668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521055219784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521055222773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521055224489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521055226284
