what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518240906243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518240907766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518240921843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518240923976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518240933594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518240936088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241469751
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1518241471208
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518241472775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241477911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241481571
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518241483159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1518241489914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241491447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241496323
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518241498477
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1518241500347
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1518241500518
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1518241500677
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1518241500850
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1518241501210
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241502049
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241511725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241513926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241515131
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518241518418
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1518241519385
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1518241531881
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1518241533016
started,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1518241533027
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1518241537504
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241541712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241581164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241585608
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241592646
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1518241592666
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1518241593948
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1518241595118
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1518241596008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518241597900
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1518241608807
