what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1520171145226
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1520171145229
started,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1520171145297
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1520171145450
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1520171145454
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1520171145648
started,bundle,org.eclipse.rse.services.local,2.1.202.R32x_v201102011435,"org.eclipse.rse.services.local",1520171145655
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1520171145855
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1520171145857
activated,view,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui.TypeHierarchy",1520171148478
closed,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.projectOutline",1520171148565
opened,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1520171154013
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1520171154351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1520171154352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520171174224
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520171616310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520171631487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520171634180
